dimensions,fuzzy_sets,rmse,mae,mape,smape,nrmse,rules,rmse_std,mae_std,mape_std,smape_std,nrmse_std,rules_std
2,10,28.957,20.513,29.81,11.582,0.075,331.667,11.254,6.253,10.047,3.179,0.068,52.282
2,20,17.095,8.683,11.233,4.694,0.048,842.033,8.61,5.232,5.373,1.947,0.064,117.441
2,30,9.859,4.326,5.212,2.225,0.023,1269.433,9.294,4.523,4.679,1.595,0.023,148.921
2,40,8.585,2.897,3.163,1.285,0.02,1627.6,9.883,3.503,2.7,0.859,0.022,181.759
2,50,5.457,2.05,1.758,0.746,0.013,1938.733,7.305,3.296,1.733,0.638,0.014,181.001
3,10,16.988,9.556,14.354,5.401,0.047,1110.467,11.948,6.249,9.397,2.779,0.06,152.048
3,20,4.117,2.158,2.166,0.973,0.011,2538.133,3.082,2.994,1.837,0.762,0.012,286.566
3,30,2.06,1.316,0.671,0.298,0.004,3573.5,2.634,2.926,0.729,0.297,0.005,307.659
3,40,0.996,1.072,0.286,0.131,0.002,4351.233,1.267,2.971,0.376,0.169,0.003,374.652
3,50,0.348,0.962,0.107,0.049,0.001,5009.367,0.51,2.987,0.206,0.091,0.001,368.464
4,10,10.451,4.4,6.11,2.069,0.03,3138.133,16.059,5.02,8.859,1.699,0.055,336.664
4,20,1.495,1.182,0.507,0.215,0.004,6551.833,2.394,2.981,0.81,0.3,0.006,554.799
4,30,0.415,0.958,0.093,0.041,0.001,8828.367,0.775,2.993,0.163,0.07,0.001,561.949
4,40,0.187,0.935,0.061,0.026,0.0,10431.467,0.48,2.996,0.176,0.076,0.001,612.737
4,50,0.083,0.92,0.035,0.015,0.0,11692.633,0.228,2.998,0.118,0.047,0.001,544.497
5,10,6.006,2.561,3.086,0.872,0.016,7947.667,16.138,4.729,8.172,1.187,0.037,696.712
5,20,0.587,0.991,0.157,0.061,0.001,15641.233,1.648,3.002,0.427,0.136,0.003,1059.191
5,30,0.071,0.917,0.028,0.011,0.0,20313.367,0.194,3.004,0.099,0.037,0.0,1081.59
5,40,0.042,0.913,0.024,0.009,0.0,23369.2,0.157,3.002,0.098,0.036,0.0,1051.035
5,50,0.044,0.913,0.024,0.009,0.0,25567.833,0.151,3.0,0.098,0.036,0.0,916.741
6,10,2.697,1.566,1.301,0.452,0.006,19157.1,6.33,3.31,3.267,0.815,0.014,1708.951
6,20,0.11,0.923,0.037,0.016,0.0,35859.267,0.299,3.015,0.106,0.041,0.001,2554.96
6,30,0.051,0.914,0.025,0.01,0.0,44947.5,0.185,3.005,0.099,0.037,0.0,2416.406
6,40,0.041,0.913,0.024,0.009,0.0,50454.733,0.157,3.002,0.098,0.036,0.0,2220.822
6,50,0.039,0.912,0.024,0.009,0.0,54114.567,0.15,3.0,0.098,0.036,0.0,1873.36
